유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,외국식,72.2,11.6
음식,한식,72.2,36.0
음식,카페/찻집,72.2,15.4
음식,간이음식,72.2,10.0
음식,음식점기타,72.2,1.4
음식,전문음식,72.2,25.6
쇼핑,기타쇼핑시설,12.4,3.4
쇼핑,쇼핑몰,12.4,96.6
문화관광,전시시설,9.2,2.3
문화관광,테마공원,9.2,2.9
문화관광,레저스포츠시설,9.2,5.8
문화관광,도시공원,9.2,69.5
문화관광,기타문화관광지,9.2,1.0
문화관광,공연시설,9.2,18.6
숙박,기타숙박,3.4,0.4
숙박,모텔,3.4,21.0
숙박,캠핑,3.4,0.9
숙박,호스텔,3.4,0.5
숙박,호텔,3.4,77.2
기타관광,기타관광,1.3,100.0
레저스포츠,기타레저스포츠,0.9,0.6
레저스포츠,육상레저스포츠,0.9,24.5
레저스포츠,수상레저스포츠,0.9,74.8
역사관광,종교성지,0.4,98.6
역사관광,역사유적지,0.4,1.4
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.0,100.0
