유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,71.2,35.1
음식,외국식,71.2,11.4
음식,간이음식,71.2,11.7
음식,음식점기타,71.2,1.2
음식,전문음식,71.2,24.9
음식,카페/찻집,71.2,15.7
쇼핑,기타쇼핑시설,11.1,4.0
쇼핑,쇼핑몰,11.1,96.0
문화관광,도시공원,9.9,50.2
문화관광,레저스포츠시설,9.9,6.1
문화관광,전시시설,9.9,7.9
문화관광,테마공원,9.9,3.3
문화관광,기타문화관광지,9.9,2.1
문화관광,공연시설,9.9,30.4
숙박,모텔,4.9,14.0
숙박,캠핑,4.9,0.3
숙박,콘도미니엄,4.9,0.9
숙박,호스텔,4.9,1.3
숙박,호텔,4.9,83.5
레저스포츠,수상레저스포츠,1.6,54.7
레저스포츠,육상레저스포츠,1.6,45.3
기타관광,기타관광,0.6,100.0
역사관광,종교성지,0.5,97.3
역사관광,역사유적지,0.5,2.7
체험관광,농/산/어촌체험,0.1,100.0
자연관광,자연경관(산),0.1,100.0
