유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,71.6,35.2
음식,외국식,71.6,12.8
음식,간이음식,71.6,10.7
음식,음식점기타,71.6,1.1
음식,전문음식,71.6,24.5
음식,카페/찻집,71.6,15.7
쇼핑,기타쇼핑시설,11.2,3.5
쇼핑,쇼핑몰,11.2,96.5
문화관광,도시공원,9.5,44.9
문화관광,레저스포츠시설,9.5,3.5
문화관광,전시시설,9.5,2.0
문화관광,테마공원,9.5,3.2
문화관광,기타문화관광지,9.5,2.8
문화관광,공연시설,9.5,43.6
숙박,모텔,5.1,14.9
숙박,캠핑,5.1,0.2
숙박,콘도미니엄,5.1,1.0
숙박,호스텔,5.1,1.6
숙박,호텔,5.1,82.3
레저스포츠,수상레저스포츠,1.3,55.6
레저스포츠,육상레저스포츠,1.3,44.4
기타관광,기타관광,0.7,100.0
역사관광,종교성지,0.5,94.9
역사관광,역사유적지,0.5,5.1
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.0,100.0
