유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,71.9,37.0
음식,간이음식,71.9,9.1
음식,외국식,71.9,11.1
음식,음식점기타,71.9,1.3
음식,전문음식,71.9,25.8
음식,카페/찻집,71.9,15.7
문화관광,공연시설,11.4,17.2
문화관광,기타문화관광지,11.4,1.1
문화관광,도시공원,11.4,73.7
문화관광,레저스포츠시설,11.4,4.4
문화관광,전시시설,11.4,1.8
문화관광,테마공원,11.4,1.8
쇼핑,기타쇼핑시설,10.5,3.4
쇼핑,쇼핑몰,10.5,96.6
숙박,모텔,3.3,15.9
숙박,캠핑,3.3,1.5
숙박,호스텔,3.3,2.0
숙박,호텔,3.3,80.6
레저스포츠,기타레저스포츠,1.2,1.7
레저스포츠,육상레저스포츠,1.2,13.7
레저스포츠,수상레저스포츠,1.2,84.6
기타관광,기타관광,0.9,100.0
역사관광,종교성지,0.7,94.8
역사관광,역사유적지,0.7,5.2
체험관광,농/산/어촌체험,0.1,100.0
자연관광,자연경관(산),0.1,100.0
