year,month,성/연령,지역명,비율
2025,8,50대 남성,경기도 성남시 수정구,10.5
2025,8,30대 남성,경기도 성남시 수정구,10.3
2025,8,40대 남성,경기도 성남시 수정구,9.8
2025,8,60대 남성,경기도 성남시 수정구,9.0
2025,8,50대 여성,경기도 성남시 수정구,8.7
2025,8,30대 여성,경기도 성남시 수정구,8.3
2025,8,60대 여성,경기도 성남시 수정구,7.9
2025,8,20대 남성,경기도 성남시 수정구,7.2
2025,8,40대 여성,경기도 성남시 수정구,7.1
2025,8,20대 여성,경기도 성남시 수정구,6.7
2025,8,70대 이상 여성,경기도 성남시 수정구,4.2
2025,8,70대 이상 남성,경기도 성남시 수정구,3.9
2025,8,10대 남성,경기도 성남시 수정구,2.8
2025,8,10대 여성,경기도 성남시 수정구,2.7
2025,8,10대 미만 여성,경기도 성남시 수정구,0.5
2025,8,10대 미만 남성,경기도 성남시 수정구,0.4
