year,month,성/연령,지역명,비율
2024,5,50대 남성,경기도 성남시 수정구,10.5
2024,5,30대 남성,경기도 성남시 수정구,10.1
2024,5,40대 남성,경기도 성남시 수정구,9.8
2024,5,50대 여성,경기도 성남시 수정구,8.9
2024,5,60대 남성,경기도 성남시 수정구,8.7
2024,5,20대 남성,경기도 성남시 수정구,8.1
2024,5,30대 여성,경기도 성남시 수정구,8.1
2024,5,60대 여성,경기도 성남시 수정구,7.8
2024,5,20대 여성,경기도 성남시 수정구,7.2
2024,5,40대 여성,경기도 성남시 수정구,7.0
2024,5,70대 이상 여성,경기도 성남시 수정구,3.8
2024,5,70대 이상 남성,경기도 성남시 수정구,3.6
2024,5,10대 여성,경기도 성남시 수정구,2.8
2024,5,10대 남성,경기도 성남시 수정구,2.7
2024,5,10대 미만 여성,경기도 성남시 수정구,0.5
2024,5,10대 미만 남성,경기도 성남시 수정구,0.4
