유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,72.1,36.3
음식,간이음식,72.1,11.4
음식,외국식,72.1,11.1
음식,음식점기타,72.1,1.3
음식,전문음식,72.1,22.9
음식,카페/찻집,72.1,17.0
문화관광,공연시설,11.2,26.5
문화관광,기타문화관광지,11.2,0.9
문화관광,도시공원,11.2,62.3
문화관광,레저스포츠시설,11.2,2.0
문화관광,전시시설,11.2,5.3
문화관광,테마공원,11.2,3.0
쇼핑,기타쇼핑시설,9.5,3.4
쇼핑,쇼핑몰,9.5,96.6
숙박,기타숙박,4.2,0.3
숙박,모텔,4.2,16.0
숙박,캠핑,4.2,0.5
숙박,호스텔,4.2,2.3
숙박,호텔,4.2,80.9
레저스포츠,기타레저스포츠,1.4,2.0
레저스포츠,육상레저스포츠,1.4,9.8
레저스포츠,수상레저스포츠,1.4,88.1
기타관광,기타관광,1.0,100.0
역사관광,종교성지,0.5,90.4
역사관광,역사유적지,0.5,9.6
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.1,100.0
