유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,전문음식,76.0,24.6
음식,간이음식,76.0,8.4
음식,외국식,76.0,11.1
음식,음식점기타,76.0,1.0
음식,카페/찻집,76.0,15.9
음식,한식,76.0,39.0
문화관광,기타문화관광지,14.7,1.3
문화관광,도시공원,14.7,51.7
문화관광,레저스포츠시설,14.7,7.2
문화관광,전시시설,14.7,1.8
문화관광,테마공원,14.7,2.5
문화관광,공연시설,14.7,35.4
숙박,모텔,5.3,15.4
숙박,캠핑,5.3,0.5
숙박,콘도미니엄,5.3,0.7
숙박,호스텔,5.3,1.6
숙박,호텔,5.3,81.9
레저스포츠,수상레저스포츠,1.5,64.2
레저스포츠,육상레저스포츠,1.5,35.8
기타관광,기타관광,1.2,100.0
쇼핑,쇼핑몰,0.8,77.5
쇼핑,기타쇼핑시설,0.8,22.5
역사관광,종교성지,0.4,92.2
역사관광,역사유적지,0.4,7.8
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.0,100.0
