year,month,유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
2025,1,경기도 고양시 일산서구 , 경기도 파주시,22.5,1
2025,1,경기도 고양시 일산동구 , 경기도 파주시,15.2,1
2025,1,경기도 고양시 덕양구 , 경기도 파주시,12.1,1
2025,1,경기도 김포시 , 경기도 파주시,5.1,1
2025,1,서울특별시 강서구 , 경기도 파주시,3.2,1
2025,1,서울특별시 마포구 , 경기도 파주시,3.1,1
2025,1,경기도 양주시 , 경기도 파주시,2.9,1
2025,1,서울특별시 은평구 , 경기도 파주시,2.3,1
2025,1,인천광역시 서구 , 경기도 파주시,2.2,1
2025,1,서울특별시 영등포구 , 경기도 파주시,1.7,1
2025,1,서울특별시 양천구 , 경기도 파주시,1.6,1
2025,1,경기도 의정부시 , 경기도 파주시,1.4,1
2025,1,경기도 부천시 원미구 , 경기도 파주시,1.2,1
2025,1,서울특별시 서대문구 , 경기도 파주시,1.2,1
2025,1,경기도 연천군 , 경기도 파주시,1.1,1
2025,1,인천광역시 계양구 , 경기도 파주시,1.1,1
2025,1,인천광역시 부평구 , 경기도 파주시,1.1,1
2025,1,경기도 남양주시 , 경기도 파주시,1.1,1
2025,1,서울특별시 용산구 , 경기도 파주시,0.8,1
2025,1,서울특별시 구로구 , 경기도 파주시,0.8,1
2025,1, 경기도 파주시,경기도 고양시 일산서구,20.0,2
2025,1, 경기도 파주시,경기도 고양시 일산동구,19.7,2
2025,1, 경기도 파주시,경기도 고양시 덕양구,14.1,2
2025,1, 경기도 파주시,경기도 김포시,4.8,2
2025,1, 경기도 파주시,경기도 양주시,3.7,2
2025,1, 경기도 파주시,서울특별시 강서구,2.6,2
2025,1, 경기도 파주시,인천광역시 중구,2.1,2
2025,1, 경기도 파주시,서울특별시 마포구,2.1,2
2025,1, 경기도 파주시,서울특별시 은평구,1.8,2
2025,1, 경기도 파주시,경기도 의정부시,1.7,2
2025,1, 경기도 파주시,경기도 연천군,1.4,2
2025,1, 경기도 파주시,서울특별시 중구,1.2,2
2025,1, 경기도 파주시,서울특별시 영등포구,1.2,2
2025,1, 경기도 파주시,인천광역시 서구,1.2,2
2025,1, 경기도 파주시,서울특별시 강남구,1.1,2
2025,1, 경기도 파주시,경기도 남양주시,1.0,2
2025,1, 경기도 파주시,경기도 포천시,1.0,2
2025,1, 경기도 파주시,서울특별시 종로구,0.8,2
2025,1, 경기도 파주시,서울특별시 용산구,0.8,2
2025,1, 경기도 파주시,인천광역시 강화군,0.7,2
