year,month,유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
2025,5,경기도 고양시 일산서구 , 경기도 파주시,19.5,1
2025,5,경기도 고양시 일산동구 , 경기도 파주시,13.6,1
2025,5,경기도 고양시 덕양구 , 경기도 파주시,11.8,1
2025,5,경기도 김포시 , 경기도 파주시,4.9,1
2025,5,서울특별시 강서구 , 경기도 파주시,3.6,1
2025,5,경기도 양주시 , 경기도 파주시,3.6,1
2025,5,서울특별시 마포구 , 경기도 파주시,3.3,1
2025,5,서울특별시 은평구 , 경기도 파주시,2.5,1
2025,5,인천광역시 서구 , 경기도 파주시,2.3,1
2025,5,서울특별시 영등포구 , 경기도 파주시,1.9,1
2025,5,서울특별시 양천구 , 경기도 파주시,1.8,1
2025,5,경기도 연천군 , 경기도 파주시,1.8,1
2025,5,경기도 의정부시 , 경기도 파주시,1.5,1
2025,5,서울특별시 서대문구 , 경기도 파주시,1.2,1
2025,5,경기도 남양주시 , 경기도 파주시,1.2,1
2025,5,경기도 부천시 원미구 , 경기도 파주시,1.2,1
2025,5,인천광역시 계양구 , 경기도 파주시,1.1,1
2025,5,인천광역시 부평구 , 경기도 파주시,1.1,1
2025,5,서울특별시 용산구 , 경기도 파주시,0.9,1
2025,5,서울특별시 강남구 , 경기도 파주시,0.9,1
2025,5, 경기도 파주시,경기도 고양시 일산동구,18.2,2
2025,5, 경기도 파주시,경기도 고양시 일산서구,17.3,2
2025,5, 경기도 파주시,경기도 고양시 덕양구,15.8,2
2025,5, 경기도 파주시,경기도 양주시,4.6,2
2025,5, 경기도 파주시,경기도 김포시,4.4,2
2025,5, 경기도 파주시,경기도 연천군,2.5,2
2025,5, 경기도 파주시,서울특별시 강서구,2.2,2
2025,5, 경기도 파주시,인천광역시 중구,1.9,2
2025,5, 경기도 파주시,서울특별시 마포구,1.9,2
2025,5, 경기도 파주시,경기도 포천시,1.8,2
2025,5, 경기도 파주시,서울특별시 은평구,1.7,2
2025,5, 경기도 파주시,경기도 의정부시,1.6,2
2025,5, 경기도 파주시,경기도 남양주시,1.3,2
2025,5, 경기도 파주시,서울특별시 강남구,1.2,2
2025,5, 경기도 파주시,서울특별시 영등포구,1.2,2
2025,5, 경기도 파주시,인천광역시 서구,1.1,2
2025,5, 경기도 파주시,서울특별시 중구,1.1,2
2025,5, 경기도 파주시,인천광역시 강화군,1.0,2
2025,5, 경기도 파주시,서울특별시 용산구,1.0,2
2025,5, 경기도 파주시,경기도 부천시 원미구,0.7,2
