year,month,유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
2024,7,경기도 고양시 일산서구 , 경기도 파주시,21.2,1
2024,7,경기도 고양시 일산동구 , 경기도 파주시,14.8,1
2024,7,경기도 고양시 덕양구 , 경기도 파주시,12.4,1
2024,7,경기도 김포시 , 경기도 파주시,4.9,1
2024,7,서울특별시 강서구 , 경기도 파주시,3.8,1
2024,7,경기도 양주시 , 경기도 파주시,3.2,1
2024,7,서울특별시 마포구 , 경기도 파주시,3.2,1
2024,7,서울특별시 은평구 , 경기도 파주시,2.1,1
2024,7,인천광역시 서구 , 경기도 파주시,2.1,1
2024,7,서울특별시 영등포구 , 경기도 파주시,1.8,1
2024,7,서울특별시 양천구 , 경기도 파주시,1.7,1
2024,7,경기도 연천군 , 경기도 파주시,1.5,1
2024,7,서울특별시 서대문구 , 경기도 파주시,1.4,1
2024,7,경기도 의정부시 , 경기도 파주시,1.4,1
2024,7,경기도 부천시 원미구 , 경기도 파주시,1.2,1
2024,7,인천광역시 부평구 , 경기도 파주시,1.0,1
2024,7,서울특별시 용산구 , 경기도 파주시,1.0,1
2024,7,인천광역시 계양구 , 경기도 파주시,1.0,1
2024,7,서울특별시 강남구 , 경기도 파주시,0.9,1
2024,7,경기도 남양주시 , 경기도 파주시,0.9,1
2024,7, 경기도 파주시,경기도 고양시 일산서구,20.1,2
2024,7, 경기도 파주시,경기도 고양시 일산동구,19.2,2
2024,7, 경기도 파주시,경기도 고양시 덕양구,16.4,2
2024,7, 경기도 파주시,경기도 양주시,4.2,2
2024,7, 경기도 파주시,경기도 김포시,4.0,2
2024,7, 경기도 파주시,경기도 연천군,3.7,2
2024,7, 경기도 파주시,서울특별시 강서구,2.0,2
2024,7, 경기도 파주시,서울특별시 마포구,1.9,2
2024,7, 경기도 파주시,서울특별시 은평구,1.6,2
2024,7, 경기도 파주시,인천광역시 중구,1.5,2
2024,7, 경기도 파주시,경기도 포천시,1.4,2
2024,7, 경기도 파주시,경기도 의정부시,1.3,2
2024,7, 경기도 파주시,서울특별시 영등포구,1.2,2
2024,7, 경기도 파주시,서울특별시 중구,1.0,2
2024,7, 경기도 파주시,서울특별시 강남구,1.0,2
2024,7, 경기도 파주시,인천광역시 서구,0.9,2
2024,7, 경기도 파주시,경기도 남양주시,0.9,2
2024,7, 경기도 파주시,서울특별시 용산구,0.7,2
2024,7, 경기도 파주시,서울특별시 종로구,0.7,2
2024,7, 경기도 파주시,인천광역시 강화군,0.6,2
