유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,74.6,8.4
음식,한식,74.6,38.8
음식,카페/찻집,74.6,14.9
음식,외국식,74.6,11.6
음식,음식점기타,74.6,1.0
음식,전문음식,74.6,25.3
문화관광,테마공원,16.0,1.8
문화관광,전시시설,16.0,1.6
문화관광,레저스포츠시설,16.0,7.2
문화관광,도시공원,16.0,60.2
문화관광,기타문화관광지,16.0,1.5
문화관광,공연시설,16.0,27.6
숙박,모텔,4.9,14.7
숙박,캠핑,4.9,0.3
숙박,콘도미니엄,4.9,0.9
숙박,호스텔,4.9,1.7
숙박,호텔,4.9,82.5
기타관광,기타관광,1.4,100.0
레저스포츠,기타레저스포츠,1.2,0.3
레저스포츠,육상레저스포츠,1.2,44.3
레저스포츠,수상레저스포츠,1.2,55.4
쇼핑,쇼핑몰,1.1,71.1
쇼핑,기타쇼핑시설,1.1,28.9
역사관광,종교성지,0.6,94.0
역사관광,역사유적지,0.6,6.0
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.1,100.0
