year,month,시군구명,시도명,관광지명,구분
2025,9,파주시,경기도,파주 임진각(평화누리공원),역사관광지
2025,9,파주시,경기도,제3땅굴,역사관광지
2025,9,파주시,경기도,헤이리농원,체험관광지
2025,9,파주시,경기도,마장호수 출렁다리,건축/조형물
2025,9,파주시,경기도,감악산 출렁다리,건축/조형물
2025,9,파주시,경기도,헤이리 예술마을,체험관광지
2025,9,파주시,경기도,헤이리무장애노을숲길,휴양관광지
2025,9,파주시,경기도,통일촌마을,역사관광지
2025,9,파주시,경기도,[DMZ 평화의 길] 임진각-도라산 코스,복합 레포츠
2025,9,파주시,경기도,판문점,역사관광지
2025,9,파주시,경기도,금촌통일시장,쇼핑
2025,9,파주시,경기도,프로방스 마을,체험관광지
2025,9,파주시,경기도,콩치노콩크리트,문화시설
2025,9,파주시,경기도,황희선생묘,역사관광지
2025,9,파주시,경기도,수라한식뷔페,음식점
2025,9,파주시,경기도,황인용 뮤직 스페이스 <카메라타>,문화시설
2025,9,파주시,경기도,임진강 황포돛배,휴양관광지
2025,9,파주시,경기도,파주 율곡습지공원,자연관광지
2025,9,파주시,경기도,심학산 둘레길,육상 레포츠
2025,9,파주시,경기도,도라전망대,건축/조형물
2025,9,파주시,경기도,퍼스트가든,자연관광지
2025,9,파주시,경기도,문발리헌책방골목 블루박스,음식점
2025,9,파주시,경기도,옳은휴식하루,음식점
2025,9,파주시,경기도,평화누리 캠핑장,육상 레포츠
2025,9,파주시,경기도,감악산(파주),자연관광지
2025,9,파주시,경기도,자운서원,역사관광지
2025,9,파주시,경기도,소령원숲속,음식점
2025,9,파주시,경기도,파주 장단콩마을,체험관광지
2025,9,파주시,경기도,광탄낚시터,수상 레포츠
2025,9,파주시,경기도,파주 이이 유적,역사관광지
2025,9,파주시,경기도,파주 임진각평화곤돌라(파주 DMZ 곤돌라),체험관광지
2025,9,파주시,경기도,스피드파크,육상 레포츠
2025,9,파주시,경기도,미메시스 아트 뮤지엄,문화시설
2025,9,파주시,경기도,파주장단콩두부,음식점
2025,9,파주시,경기도,한국근현대사박물관,문화시설
2025,9,파주시,경기도,파주놀이구름,체험관광지
2025,9,파주시,경기도,임진강 독개다리,역사관광지
2025,9,파주시,경기도,파주가야랜드,휴양관광지
2025,9,파주시,경기도,파평용연,역사관광지
2025,9,파주시,경기도,한반도생태평화 종합관광센터,자연관광지
2025,9,파주시,경기도,뮌스터담,음식점
2025,9,파주시,경기도,어반캠핑 마장호수,육상 레포츠
2025,9,파주시,경기도,마장호수,자연관광지
2025,9,파주시,경기도,공릉호,휴양관광지
2025,9,파주시,경기도,공릉관광지캠핑장,육상 레포츠
2025,9,파주시,경기도,파주눌노리체험캠핑장,육상 레포츠
2025,9,파주시,경기도,봉일천종합시장,쇼핑
2025,9,파주시,경기도,신세계사이먼 파주 프리미엄 아울렛,쇼핑
2025,9,파주시,경기도,파주캠핑장,육상 레포츠
2025,9,파주시,경기도,황희선생유적지·반구정,역사관광지
2025,9,파주시,경기도,월롱시민공원,휴양관광지
2025,9,파주시,경기도,무즐라,음식점
2025,9,파주시,경기도,반구정 나루터집,음식점
2025,9,파주시,경기도,벽초지수목원,자연관광지
2025,9,파주시,경기도,파주어린이천문대,자연관광지
2025,9,파주시,경기도,가드너스,음식점
2025,9,파주시,경기도,노스팜CC,육상 레포츠
2025,9,파주시,경기도,공간811,음식점
2025,9,파주시,경기도,타샤의정원,음식점
2025,9,파주시,경기도,통일촌장단콩마을,음식점
2025,9,파주시,경기도,운계폭포,자연관광지
2025,9,파주시,경기도,캠프 그리브스,역사관광지
2025,9,파주시,경기도,우리집갈비,음식점
2025,9,파주시,경기도,해마루촌,체험관광지
2025,9,파주시,경기도,나눔농장(파주),체험관광지
2025,9,파주시,경기도,밀밭식당,음식점
2025,9,파주시,경기도,퇴골계곡,자연관광지
2025,9,파주시,경기도,헤이리시네마,문화시설
2025,9,파주시,경기도,문산짬뽕,음식점
2025,9,파주시,경기도,용암사(파주),역사관광지
2025,9,파주시,경기도,운정체육공원,휴양관광지
2025,9,파주시,경기도,파주화석정캠핑장,육상 레포츠
2025,9,파주시,경기도,파주팜랜드,체험관광지
2025,9,파주시,경기도,장산전망대,건축/조형물
2025,9,파주시,경기도,전주웰빙새알팥죽,음식점
2025,9,파주시,경기도,송우현의 파주 국물없는우동,음식점
2025,9,파주시,경기도,네이처스파,휴양관광지
2025,9,파주시,경기도,옛날시골밥상,음식점
2025,9,파주시,경기도,초리 포레스트,육상 레포츠
2025,9,파주시,경기도,레드브릿지,음식점
2025,9,파주시,경기도,모산목장,체험관광지
2025,9,파주시,경기도,마마경양식,음식점
2025,9,파주시,경기도,오성골프클럽,육상 레포츠
2025,9,파주시,경기도,파주리조트골프클럽(PAJU Resort Golf Club),육상 레포츠
2025,9,파주시,경기도,임진각 수풀누리,휴양관광지
2025,9,파주시,경기도,국립민속박물관 파주,문화시설
2025,9,파주시,경기도,모쿠슈라 테이블,음식점
2025,9,파주시,경기도,알단테,음식점
2025,9,파주시,경기도,파주 삼릉 [유네스코 세계유산],역사관광지
2025,9,파주시,경기도,장어애,음식점
2025,9,파주시,경기도,파평체육공원,휴양관광지
2025,9,파주시,경기도,금곡낚시터,수상 레포츠
2025,9,파주시,경기도,박달산(파주),자연관광지
2025,9,파주시,경기도,천천히카페,음식점
2025,9,파주시,경기도,통일동산 관광특구,휴양관광지
2025,9,파주시,경기도,문지리535,음식점
2025,9,파주시,경기도,블루메 미술관,문화시설
2025,9,파주시,경기도,율곡수목원,자연관광지
2025,9,파주시,경기도,교하중앙공원,휴양관광지
2025,9,파주시,경기도,도라산역,역사관광지
