유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,72.2,38.1
음식,외국식,72.2,10.5
음식,간이음식,72.2,9.8
음식,음식점기타,72.2,1.1
음식,전문음식,72.2,25.5
음식,카페/찻집,72.2,14.9
문화관광,도시공원,11.0,68.1
문화관광,레저스포츠시설,11.0,5.9
문화관광,전시시설,11.0,3.1
문화관광,테마공원,11.0,3.7
문화관광,기타문화관광지,11.0,1.1
문화관광,공연시설,11.0,18.1
쇼핑,기타쇼핑시설,10.6,2.5
쇼핑,쇼핑몰,10.6,97.5
숙박,기타숙박,3.4,0.2
숙박,모텔,3.4,16.1
숙박,캠핑,3.4,2.1
숙박,호스텔,3.4,1.7
숙박,호텔,3.4,79.9
레저스포츠,수상레저스포츠,1.3,86.9
레저스포츠,육상레저스포츠,1.3,13.1
기타관광,기타관광,0.9,100.0
역사관광,종교성지,0.4,88.9
역사관광,역사유적지,0.4,11.1
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.0,100.0
