유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,73.5,42.3
음식,간이음식,73.5,9.0
음식,외국식,73.5,9.7
음식,음식점기타,73.5,1.6
음식,전문음식,73.5,23.7
음식,카페/찻집,73.5,13.8
쇼핑,기타쇼핑시설,10.8,3.2
쇼핑,쇼핑몰,10.8,96.8
문화관광,공연시설,9.7,16.3
문화관광,기타문화관광지,9.7,0.5
문화관광,도시공원,9.7,77.7
문화관광,레저스포츠시설,9.7,2.1
문화관광,전시시설,9.7,1.6
문화관광,테마공원,9.7,1.7
숙박,모텔,3.1,24.2
숙박,캠핑,3.1,0.3
숙박,호텔,3.1,75.5
레저스포츠,기타레저스포츠,1.4,1.2
레저스포츠,육상레저스포츠,1.4,19.4
레저스포츠,수상레저스포츠,1.4,79.4
기타관광,기타관광,0.8,100.0
역사관광,종교성지,0.5,98.2
역사관광,역사유적지,0.5,1.8
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.0,100.0
