유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,72.0,34.9
음식,외국식,72.0,11.7
음식,간이음식,72.0,11.8
음식,음식점기타,72.0,1.1
음식,전문음식,72.0,23.8
음식,카페/찻집,72.0,16.8
쇼핑,기타쇼핑시설,10.9,3.0
쇼핑,쇼핑몰,10.9,97.0
문화관광,도시공원,10.1,52.3
문화관광,레저스포츠시설,10.1,9.6
문화관광,전시시설,10.1,9.9
문화관광,테마공원,10.1,2.2
문화관광,기타문화관광지,10.1,2.0
문화관광,공연시설,10.1,23.9
숙박,모텔,4.2,18.7
숙박,캠핑,4.2,0.3
숙박,콘도미니엄,4.2,1.4
숙박,호스텔,4.2,1.2
숙박,호텔,4.2,78.4
레저스포츠,수상레저스포츠,1.2,55.5
레저스포츠,육상레저스포츠,1.2,44.5
기타관광,기타관광,1.0,100.0
역사관광,종교성지,0.4,95.5
역사관광,역사유적지,0.4,4.5
체험관광,농/산/어촌체험,0.1,100.0
자연관광,자연경관(산),0.1,100.0
