유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,68.9,37.7
음식,간이음식,68.9,9.2
음식,외국식,68.9,10.9
음식,음식점기타,68.9,1.2
음식,전문음식,68.9,25.9
음식,카페/찻집,68.9,15.1
문화관광,공연시설,13.4,13.0
문화관광,기타문화관광지,13.4,0.7
문화관광,도시공원,13.4,78.4
문화관광,레저스포츠시설,13.4,4.2
문화관광,전시시설,13.4,2.0
문화관광,테마공원,13.4,1.7
쇼핑,기타쇼핑시설,11.4,3.1
쇼핑,쇼핑몰,11.4,96.9
숙박,기타숙박,3.5,2.7
숙박,모텔,3.5,16.3
숙박,캠핑,3.5,1.5
숙박,호스텔,3.5,0.2
숙박,호텔,3.5,79.3
레저스포츠,기타레저스포츠,1.2,0.9
레저스포츠,육상레저스포츠,1.2,17.8
레저스포츠,수상레저스포츠,1.2,81.2
기타관광,기타관광,1.0,100.0
역사관광,종교성지,0.4,93.7
역사관광,역사유적지,0.4,6.3
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.1,100.0
